,timestamp,target,rotation,date
0,1638388967,21e8,21e88a8add2ccf70e346085d12b72d565c491bf55b48a1bd4d19858dda4ec45c,2021-12-02
1,1638388967,21e8,21e8f4bcd2f197b9c0eb660569b77551b06be45b2797bb6c4f0c38cca0f8b6ca,2021-12-02
2,1638394336,21e8,21e8c154ac45aafe7ee8e8d2bfded91a78a6e20305201fea752128fdf27cc5ee,2021-12-02
3,1638394337,21e8,21e8f2440bb0249c71cc89997ec001d98d5d33b53ff8aebe78c06ec0ed5ea244,2021-12-02
4,1638394353,21e8,21e8dd64ae043f4499267afec06f0104e77b41397000344b6f5f174008753b6f,2021-12-02
5,1638394354,21e8,21e8b6e7b9302777d2b6a8e766fdd44c4f245f5fb051ce78b46426e38b7c25d4,2021-12-02
6,1638395671,21e8,21e8bbb9ca8be5db8d2cd3fe0c6c7d425ed26ee3849288ada0014563c6184449,2021-12-02
7,1638395671,21e8,21e8c9b3c192562c6c15864b920cf37d9d2a02e891471a6647fb09d34c48536b,2021-12-02
8,1638404569,21e8,21e8f837d83e9c514604d87e3d732ed107c05bac38d531312228fee8d3e6c3b9,2021-12-02
9,1638404569,21e8,21e8f718ec94783e507ea1ad000f723ff63c796714ba1d25570eab60758423bb,2021-12-02
10,1638404575,21e8,21e8fe0fc5c23952d05085e4c6efb08a359b0cf8038dca16c3ac8eb189fb8dd4,2021-12-02
11,1638404575,21e8,21e8f850ea216e2b564305a8b518f6af280be5e9fc8cdb736f1094dfab1ce14b,2021-12-02
12,1638405658,21e8,21e8806691370ba2ac4e8e8dc5bbb496f74c0f39e1c51d5ccb3f442d5bfcd280,2021-12-02
13,1638405658,21e8,21e8c9b31b807d13213261af46ff3ddae0b28a090ad4d95e22018378b5465647,2021-12-02
14,1638481371,1f4dd,1f4ddb07733cfa97125d5228584bfa6a93859a1578746754e2c219ec7807ac9c,2021-12-03
15,1638481371,1f4dd,1f4dd5f933bab71e4cda86f900275449eafd3d0138d405e21a4af2d6c29c3415,2021-12-03
16,1638481791,1f4dd,1f4dd6765f4a175c47043d3397d909c0c0b138b05c9da81103417f1b4ea409cb,2021-12-03
17,1638481791,1f4dd,1f4ddc52637cc54529c5d449be053b1c17c269208c8d939c526416ea4d638169,2021-12-03
18,1638481955,fa1b,fa1b5bf833bc62efea8f8c4f9ceafcfb8c7950389ed1de434bc9b95a4f132280,2021-12-03
19,1638481955,fa1b,fa1b9e28a7f7ced892c6f2449be365cac02f8530be1f5479442ca7569dcab863,2021-12-03
20,1638482115,1f4dd,1f4dd69e9584e4e5d0942fdc65fede91826a7f95318c4e4e45d0eb5a6848722a,2021-12-03
21,1638482116,1f4dd,1f4ddf44342c59ad05648a35913fc47b55fab2c938c69f0a1aea90500051b937,2021-12-03
22,1638482916,1f4aa,1f4aad818ee09e013d009588fb383ac46079b332b49814f1a6f9f164e7b238b3,2021-12-03
23,1638482916,1f4aa,1f4aa08adc17115b4bc02c751f3b8bac8bc649622fdfbec5388e598fc32255f6,2021-12-03
24,1638482942,1f4aa,1f4aae2c304ff18822c31f585862df001271eee276e6956af306ae06f1472aaf,2021-12-03
25,1638482942,1f4aa,1f4aadc62094c03a9b2b49dfef255df0bef0d34cf052cf03b890c20d122f206f,2021-12-03
26,1638482963,1f4aa,1f4aaf981628c7c0d6c010e06655e68997b9d61a060a5f2b2c5398667c702916,2021-12-03
27,1638482964,1f4aa,1f4aadec41944a542bd50e2022d184bff6b8f31d0832d2a8a286732d1ca61884,2021-12-03
28,1638517233,1f4dd,1f4dd95f84bed7ed5011e4d53cd97804dbf393f29d8808c5844cb8007c89124a,2021-12-03
29,1638517233,1f4dd,1f4ddb73d6ec30c56e6d10d6eb17d5fda71d71fb558a99ebf746784226956cc3,2021-12-03
